Status,Biomass.fin_orig,Height.ini_sc,Seedling.sp,Neighbour.sp,TreeID,Phylodist
0,0,-0.0403185904132272,ST,DZ,DZ02,3.189217863310539
1,0.296,-0.42194732524481426,BC,DZ,DZ02,5.472930985029703
0,0,-0.4032702155040252,HI,DZ,DZ02,5.608828265820026
1,0.354,0.0249244799032647,DZ,DZ,DZ03,0
0,0,-0.7122950973003517,ST,DZ,DZ03,3.189217863310539
1,0.14200000000000002,1.4809523768396438,BC,DZ,DZ03,5.472930985029703
0,0,0.25276745565084807,HI,DZ,DZ03,5.608828265820026
1,0.4310000000000001,0.1653440849920812,DZ,DZ,DZ03,0
0,0,-1.249876302810051,ST,DZ,DZ03,3.189217863310539
1,0.179,-0.2564777859331222,BC,DZ,DZ03,5.472930985029703
1,0.347,-1.4066219478585382,HI,DZ,DZ03,5.608828265820026
1,0.39,1.00786171552498,DZ,DZ,DZ04,0
0,0,0.0940767109641978,ST,DZ,DZ04,3.189217863310539
0,0,0.4881351409694911,BC,DZ,DZ04,5.472930985029703
0,0,0.17558655316203972,HI,DZ,DZ04,5.608828265820026
1,0.914,1.569540135880246,DZ,DZ,DZ04,0
0,0,-0.1075162411019394,ST,DZ,DZ04,3.189217863310539
1,0.246,0.901808989248721,BC,DZ,DZ04,5.472930985029703
0,0,1.2175287367609562,HI,DZ,DZ04,5.608828265820026
1,1.925,1.0640295575605063,DZ,DZ,DZ05,0
0,0,0.43006496440776,ST,DZ,DZ05,3.189217863310539
0,0,1.2327480678721052,BC,DZ,DZ05,5.472930985029703
0,0,1.2947096392497646,HI,DZ,DZ05,5.608828265820026
1,0.371,0.3619315321164241,DZ,DZ,DZ05,0
1,0.14300000000000002,0.29566966303033504,ST,DZ,DZ05,3.189217863310539
0,0,-0.50468209490066,BC,DZ,DZ05,5.472930985029703
1,0.519,0.17558655316203972,HI,DZ,DZ05,5.608828265820026
0,0,1.00786171552498,DZ,DZ,DZ06,0
0,0,0.2284720123416228,ST,DZ,DZ06,3.189217863310539
0,0,0.07446129269026126,BC,DZ,DZ06,5.472930985029703
0,0,-0.01736570305998192,HI,DZ,DZ06,5.608828265820026
0,0,-1.070348439789504,DZ,DZ,DZ06,0
1,0.07100000000000001,1.639622676804584,ST,DZ,DZ06,3.189217863310539
0,0,-1.249295021803274,BC,DZ,DZ06,5.472930985029703
1,0.891,-0.3260893130152168,HI,DZ,DZ06,5.608828265820026
1,0.794,-0.5086700194342381,DZ,DZ,DZ07,0
0,0,-0.1075162411019394,ST,DZ,DZ07,3.189217863310539
1,0.306,-0.1737430162772765,BC,DZ,DZ07,5.472930985029703
0,0,-0.364679764259621,HI,DZ,DZ07,5.608828265820026
1,0.827,0.6708546633118208,DZ,DZ,DZ07,0
0,0,1.505227375427159,ST,DZ,DZ07,3.189217863310539
1,0.071,-1.828438409394196,BC,DZ,DZ07,5.472930985029703
1,0.5900000000000001,0.44571971187286974,HI,DZ,DZ07,5.608828265820026
0,0,1.00786171552498,DZ,DZ,DZ08,0
0,0,1.2364367726723096,ST,DZ,DZ08,3.189217863310539
0,0,-0.7528864038681985,BC,DZ,DZ08,5.472930985029703
0,0,0.831624224316913,HI,DZ,DZ08,5.608828265820026
1,0.571,1.962715030128932,DZ,DZ,DZ08,0
0,0,1.505227375427159,ST,DZ,DZ08,3.189217863310539
1,0.387,0.6536046802811839,BC,DZ,DZ08,5.472930985029703
1,1.161,0.9473955780501262,HI,DZ,DZ08,5.608828265820026
0,0,-2.474544490677669,DZ,DZ,DZ09,0
0,0,-0.5778997959229266,ST,DZ,DZ09,3.189217863310539
0,0,0.4054003713136454,BC,DZ,DZ09,5.472930985029703
0,0,-2.6801068389238805,HI,DZ,DZ09,5.608828265820026
1,0.556,-0.11549512518555176,DZ,DZ,DZ09,0
0,0,-0.0403185904132272,ST,DZ,DZ09,3.189217863310539
1,0.237,-0.42194732524481426,BC,DZ,DZ09,5.472930985029703
0,0,-1.4838028503473466,HI,DZ,DZ09,5.608828265820026
1,1.306,-0.2559147302743683,DZ,DZ,DZ10,0
0,0,-0.0403185904132272,ST,DZ,DZ10,3.189217863310539
0,0,-0.2564777859331222,BC,DZ,DZ10,5.472930985029703
0,0,0.7930337730725088,HI,DZ,DZ10,5.608828265820026
1,0.363,1.00786171552498,DZ,DZ,DZ10,0
0,0,-0.4435044945455019,ST,DZ,DZ10,3.189217863310539
0,0,-0.7528864038681985,BC,DZ,DZ10,5.472930985029703
0,0,1.1403478342721478,HI,DZ,DZ10,5.608828265820026
1,1.053,0.6989385843295839,DZ,HI,HI01,5.608828265820026
0,0,0.026879060275485,ST,HI,HI01,5.608828265820026
0,0,-2.1593774880175793,BC,HI,HI01,5.6088282658200255
1,0.651,0.561491065606083,HI,HI,HI01,0
1,2.242,0.7270225053473471,DZ,HI,HI01,5.608828265820026
0,0,-0.9138880493664888,ST,HI,HI01,5.608828265820026
1,0.195,1.0672785285604138,BC,HI,HI01,5.6088282658200255
0,0,-0.44186066674843005,HI,HI,HI01,0
1,0.402,-0.9580127557184508,DZ,HI,HI02,5.608828265820026
0,0,-0.8466903986777767,ST,HI,HI02,5.608828265820026
1,0.426,0.2399308320019541,BC,HI,HI02,5.6088282658200255
0,0,-0.943536532925686,HI,HI,HI02,0
1,2.127,0.6427707422940571,DZ,HI,HI02,5.608828265820026
0,0,-0.17471389179065222,ST,HI,HI02,5.608828265820026
0,0,0.901808989248721,BC,HI,HI02,5.6088282658200255
0,0,0.2141770044064439,HI,HI,HI02,0
0,0,-1.1546002028427935,DZ,HI,HI03,5.608828265820026
1,0.075,-1.1826786521213388,ST,HI,HI03,5.608828265820026
1,0.14200000000000002,-0.0910082466214301,BC,HI,HI03,5.6088282658200255
1,0.593,-0.13313705679319518,HI,HI,HI03,0
0,0,-0.789509229611871,DZ,HI,HI03,5.608828265820026
1,0.063,-0.5107021452342144,ST,HI,HI03,5.608828265820026
1,0.172,-0.50468209490066,BC,HI,HI03,5.6088282658200255
0,0,0.32994835813965645,HI,HI,HI03,0
1,2.665,0.7831903473828735,DZ,HI,HI04,5.608828265820026
1,0.507,0.8332508685400345,ST,HI,HI04,5.608828265820026
1,0.7050000000000001,0.901808989248721,BC,HI,HI04,5.6088282658200255
1,1.101,1.6034332492049996,HI,HI,HI04,0
1,0.541,0.1653440849920812,DZ,HI,HI04,5.608828265820026
0,0,-0.3091091931680772,ST,HI,HI04,5.608828265820026
0,0,-2.9039904149201936,BC,HI,HI04,5.6088282658200255
0,0,1.7192046029382129,HI,HI,HI04,0
