Status,Biomass.fin_orig,Height.ini_sc,Seedling.sp,Neighbour.sp,SoilSource_TreeID,Phylodist
1,0.4260000000000001,-0.005219262750494759,BC,HI,HI_1,5.6088282658200255
1,0.974,-0.005219262750494759,BC,HI,HI_2,5.6088282658200255
1,0.648,0.6529297700868966,BC,HI,HI_2,5.6088282658200255
1,0.34400000000000003,0.09603443460910402,BC,HI,HI_2,5.6088282658200255
1,0.239,0.24791498064850195,BC,HI,HI_3,5.6088282658200255
1,0.181,-0.05584611143029392,BC,HI,HI_3,5.6088282658200255
1,0.264,0.1972881319687028,BC,HI,HI_3,5.6088282658200255
1,0.556,0.6529297700868966,BC,HI,HI_4,5.6088282658200255
1,0.174,-0.5621145982282874,BC,HI,HI_4,5.6088282658200255
1,0.521,0.14666128328890318,BC,HI,HI_4,5.6088282658200255
1,0.547,-0.35960720350909026,BC,HI,HI_5,5.6088282658200255
1,0.763,0.04540758592930485,BC,HI,HI_5,5.6088282658200255
1,0.48,-0.8658756903070837,BC,HI,HI_5,5.6088282658200255
1,0.442,1.3617056516040875,BC,BC,BC_1,0
1,0.318,-0.2583535061494915,BC,BC,BC_1,0
1,0.29100000000000004,0.9060640134858933,BC,BC,BC_1,0
1,0.305,-0.2583535061494915,BC,BC,BC_1,0
1,0.303,-0.35960720350909026,BC,BC,BC_2,0
1,0.422,0.14666128328890318,BC,BC,BC_2,0
1,0.368,0.1972881319687028,BC,BC,BC_2,0
1,0.402,-1.1190099337060804,BC,BC,BC_2,0
1,0.374,0.24791498064850195,BC,BC,BC_2,0
1,0.17800000000000002,-0.20772665746969185,BC,BC,BC_3,0
1,0.547,-0.612741446908087,BC,BC,BC_3,0
1,0.506,0.6529297700868966,BC,BC,BC_3,0
1,0.327,0.9566908621656924,BC,BC,BC_3,0
1,0.5840000000000001,0.09603443460910402,BC,BC,BC_4,0
1,0.673,-0.4102340521888894,BC,BC,BC_4,0
1,0.624,0.24791498064850195,BC,BC,BC_4,0
1,0.293,-0.612741446908087,BC,BC,BC_4,0
1,0.443,-0.7646219929474849,BC,BC,BC_4,0
1,0.212,-0.612741446908087,BC,BC,BC_5,0
1,0.314,-0.8658756903070837,BC,BC,BC_5,0
1,0.6779999999999999,-0.2583535061494915,BC,BC,BC_5,0
1,0.546,1.867974138402081,BC,BC,BC_5,0
1,0.5800000000000001,0.8554371648060941,BC,ST,ST_5,5.472930985029703
1,0.5469999999999999,2.121108381801078,BC,ST,ST_5,5.472930985029703
1,0.8819999999999999,1.3617056516040875,BC,ST,ST_5,5.472930985029703
1,0.6990000000000001,2.6273768685990713,BC,ST,ST_2,5.472930985029703
1,0.734,0.09603443460910402,BC,ST,ST_2,5.472930985029703
1,0.326,-0.6633682955878861,BC,ST,ST_2,5.472930985029703
1,0.158,-0.6633682955878861,BC,ST,ST_3,5.472930985029703
1,0.083,-1.675905269183873,BC,ST,ST_3,5.472930985029703
1,0.142,-0.6633682955878861,BC,ST,ST_3,5.472930985029703
1,0.584,1.6148398950030842,BC,ST,ST_4,5.472930985029703
1,0.648,1.3617056516040875,BC,ST,ST_4,5.472930985029703
1,0.513,0.3491686780081007,BC,ST,ST_4,5.472930985029703
1,0.368,0.6023029214070974,BC,ST,ST_1,5.472930985029703
1,0.567,1.1085714082050908,BC,ST,ST_1,5.472930985029703
1,0.654,1.867974138402081,BC,ST,ST_1,5.472930985029703
1,0.193,-1.4243755923173145,ST,SC,SC_1,1.5290704520341254
